GF%,GF/60,GA/60,xGF/60,Playoffs
55.82,2.44,1.93,2.24,1
52.19,2.51,2.3,2.36,1
45.18,2.25,2.74,2.5,0
45.71,2.19,2.6,2.32,0
54.98,2.91,2.38,2.34,1
46.99,2.05,2.31,2.09,0
45.89,2.29,2.7,2.32,1
42.09,1.94,2.67,2.15,0
50.64,2.46,2.4,2.29,1
50,1.95,1.95,2.35,1
48.75,2.46,2.59,2.33,0
51.36,2.34,2.22,2.29,1
50.68,2.28,2.21,2.07,0
48.74,2.07,2.17,2.18,1
43.23,2.27,2.98,2.16,0
43.56,2.53,3.28,2.31,0
47.64,2.17,2.38,2.17,1
50,2.54,2.54,2.21,1
49.65,2.3,2.33,2.51,1
54.95,2.73,2.24,2.5,1
53.7,2.7,2.33,2.59,1
45.76,2.21,2.62,2.13,0
48.98,2.31,2.4,2.14,1
49.44,2.01,2.06,1.97,0
50.38,2.04,2.01,2.22,1
45.36,1.95,2.35,2.18,0
52.33,2.38,2.16,2.28,1
46.84,2.51,2.85,2.36,0
54.66,2.38,1.98,2.15,1
55.03,2.72,2.22,2.04,1
51.7,2.75,2.57,2.39,1
53.31,2.34,2.05,2.2,1
54.05,2.9,2.47,2.45,1
59.12,2.84,1.96,2.26,1
51.34,2.35,2.23,2.02,1
52.54,2.25,2.04,2.21,1
55.02,2.44,2,2.48,1
55.19,2.82,2.29,2.72,1
48.07,2.48,2.68,2.66,1
54.68,2.71,2.25,2.56,1
53.66,2.25,1.94,2.26,1
51.78,2.1,1.96,2.53,1
55.41,2.66,2.14,2.52,1
54.06,2.35,2,2.62,1
51.84,2.13,1.98,2.42,1
50.33,2,1.98,2.41,1
53.67,2.45,2.12,2.7,1
47.1,2.09,2.34,2.39,0
52.69,2.23,2,2.38,1
53,2.27,2.01,2.47,1
48.75,2.34,2.46,2.56,1
51.33,2.91,2.76,2.74,1
48.73,2.26,2.38,1.96,0
48.51,2.16,2.29,2.01,1
49.82,2.33,2.34,2.18,0
50.47,2.5,2.45,2.23,0
57.02,2.09,1.58,2.29,1
51.9,2.17,2.01,1.93,1
55.44,2.47,1.99,2.19,1
54.58,2.45,2.04,2.21,1
52.85,2.13,1.9,2.23,1
52.92,2.34,2.08,2.02,1
52.26,2.26,2.06,2.18,0
53.55,2.51,2.18,2.42,1
44.3,2.18,2.74,1.95,0
47.06,2.14,2.41,2.01,0
45.83,2.16,2.55,2.01,0
50.99,2.48,2.38,2.39,1
48.15,2.6,2.8,2.02,0
51,2.68,2.58,2.03,0
54.12,2.33,1.98,2.09,1
56.59,2.75,2.11,2.24,1
53.85,2.31,1.98,1.99,1
49.12,2.15,2.23,2.12,0
57.18,3.01,2.25,2.39,1
56.63,3.14,2.41,2.4,1
50.18,2.51,2.5,2.38,0
46.83,2.51,2.85,2.32,0
48.06,2.36,2.55,2.51,0
48.53,2.35,2.49,2.09,0
46.27,2.34,2.72,2.21,0
52.26,2.74,2.51,1.97,1
47.59,2.27,2.5,2,0
44.3,2.12,2.66,2.08,0
42.86,1.86,2.48,2.21,0
50.91,2.54,2.45,2.68,1
54.07,2.78,2.36,2.68,1
54.45,2.98,2.5,2.7,1
49.17,2.03,2.09,1.96,0
56.44,2.53,1.95,2.14,1
55.48,2.73,2.19,2.28,1
56.84,2.55,1.94,2.33,1
54.17,2.44,2.06,2.17,1
50.92,2.21,2.13,2.17,1
49.47,2.15,2.19,2.19,0
48.21,2.28,2.45,2.15,1
44.77,1.89,2.33,1.96,0
44.76,1.9,2.34,2.01,0
45.82,2.1,2.48,2.1,0
46.23,2.27,2.64,2.13,0
52.78,2.62,2.34,2.33,1
51.81,2.58,2.4,2.86,1
49.02,2.31,2.4,2.4,0
47.15,2.32,2.6,2.26,0
48.56,2.35,2.49,2.45,0
53.76,2.27,1.96,2.42,1
50.52,2.25,2.2,2.3,0
48.91,2.43,2.54,2.29,0
54.72,2.68,2.21,2.41,1
50.61,2.53,2.47,2.23,1
51.47,2.34,2.2,2.43,1
52.61,2.48,2.23,2.52,1
60.93,3.3,2.12,2.43,1
52,2.24,2.07,2.23,1
50.68,2.26,2.2,2.09,1
51.7,2.38,2.23,2.15,1
46.85,2.07,2.34,2.06,0
52.33,2.25,2.05,2.17,1
55.86,2.47,1.95,2.22,1
61.38,2.73,1.72,2.29,1
52.48,2.56,2.32,2.26,1
54.67,2.98,2.47,2.34,1
