CF%,CF/60,CA/60,GF%,GF/60,GA/60,xGF%,xGF/60,xGA/60,Sh%,Sv%,PDO,SC
56.33,57.18,44.32,52.12,2.26,2.08,54.96,2.24,1.83,7.59,91.49,99.08,0
56.8,61.26,46.58,55.36,2.03,1.64,55.3,2.37,1.92,6.5,93.46,99.96,1
55.37,59.18,47.7,55,2.33,1.91,54.64,2.33,1.93,7.58,92.58,100.15,0
56.39,62.28,48.16,54.02,2.15,1.83,54.67,2.37,1.97,6.82,92.99,99.81,0
54.96,59.91,49.09,48.65,1.9,2.01,54.21,2.37,2,6.21,92.06,98.27,0
50.05,56.19,56.08,52.98,2.3,2.04,48,2.17,2.36,7.8,93.09,100.88,0
48.25,53.62,57.52,45.28,2.07,2.51,47.99,2.12,2.3,7.46,91.72,99.17,0
48.8,48.69,51.09,48.05,2.1,2.28,46.19,1.71,2,8.21,92.26,100.46,0
47.17,47.99,53.75,47.29,1.94,2.17,46.8,1.71,1.95,7.5,92.7,100.2,0
47.81,49.39,53.91,47.18,2.15,2.4,49.4,1.92,1.96,8.22,91.81,100.02,0
45.25,47.22,57.13,45.96,1.96,2.3,45.08,1.79,2.18,7.83,92.58,100.4,0
44.29,47.76,60.09,42,1.63,2.25,46.88,1.92,2.18,6.38,92.63,99.02,0
49.45,49.78,50.9,47.02,2.09,2.35,52.09,2.04,1.88,7.71,91.33,99.03,0
48.6,48.25,51.04,52.61,2,1.8,50.25,1.8,1.78,7.82,93.16,100.97,0
51.06,54.92,52.65,53.55,2.55,2.21,55.21,2.25,1.82,8.56,91.85,100.4,0
47.68,50.25,55.14,52.08,2.11,1.95,50.18,1.99,1.98,7.79,93,100.79,0
49.35,53.98,55.4,55.69,2.75,2.19,54.6,2.3,1.91,9.15,92.57,101.72,0
47.18,52.08,58.3,52.63,2.43,2.19,53.58,2.25,1.95,8.19,92.72,100.91,0
50.92,57.51,55.42,47.6,2.12,2.33,54.14,2.33,1.97,6.78,91.69,98.47,0
46.01,50.99,59.85,49.6,2.26,2.29,46.13,2.03,2.37,8.55,92.56,101.11,0
47.88,54.07,58.86,48.97,2.37,2.47,47.16,2.17,2.43,8.27,92.22,100.49,0
47.18,52.41,58.68,47.79,2.02,2.21,46.19,2.02,2.35,7.58,92.81,100.39,0
51.56,59.38,55.78,50,2.14,2.14,49.88,2.25,2.26,6.81,92.78,99.58,0
47.99,52.63,57.04,49.12,2.23,2.31,47.47,1.94,2.15,8.21,92.2,100.41,0
52.85,58,51.74,55.75,2.66,2.11,55.54,2.3,1.84,8.89,92.06,100.95,0
46.74,52.98,60.38,49.06,2.04,2.12,48.38,2.16,2.31,7.42,93.04,100.47,0
48.52,54.08,57.39,54.68,2.23,1.85,48.9,2.1,2.19,7.98,93.68,101.66,0
51.39,56.45,53.4,48.47,2.21,2.35,50.97,2.25,2.16,7.33,91.84,99.17,0
52.54,58.77,53.09,54.42,2.3,1.92,53,2.38,2.11,7.55,93.25,100.79,0
50.49,59.49,58.33,45.49,2,2.39,51.24,2.43,2.31,6.38,92.19,98.57,0
54.42,65.75,55.08,53.74,2.85,2.46,54.67,2.67,2.21,8.2,91.86,100.06,0
52.47,49.53,44.86,50,1.89,1.89,51.71,2.05,1.92,7.04,92.66,99.7,0
52.52,54.8,49.54,54.65,2.35,1.95,53.47,2.26,1.97,7.55,93.14,100.69,0
50.99,49.6,47.68,52.57,2.18,1.97,51.51,2.03,1.91,7.63,92.63,100.26,0
52.1,49.13,45.17,44.15,1.77,2.24,51.54,2.01,1.89,6.31,91.32,97.63,0
50.31,45.92,45.36,48.94,2.11,2.2,51.88,1.98,1.84,8.07,91.51,99.58,0
55.88,50.56,39.93,46.38,1.71,1.97,54.85,2.04,1.68,6.42,91.21,97.63,0
54.4,49.26,41.3,47.47,1.86,2.06,55.71,2.13,1.69,7.11,91.34,98.45,0
47.19,45.16,50.54,47.92,1.75,1.9,46.99,1.86,2.09,7.2,93.41,100.61,0
46.14,42.19,49.25,45.42,1.69,2.03,47.31,1.83,2.04,7.24,92.5,99.73,0
47.83,48.89,53.33,43.35,1.74,2.27,47.81,2.08,2.27,6.36,92.47,98.83,0
48.63,54.6,57.69,48.77,2.43,2.55,50.32,2.5,2.47,7.91,91.73,99.64,0
46.87,51.8,58.7,44.58,2.24,2.78,48.41,2.35,2.51,7.55,91.25,98.8,0
50.55,51.24,50.13,50.18,2.41,2.39,52.45,2.35,2.13,8.29,91.96,100.26,0
49.11,50.74,52.58,48.71,2.13,2.25,48.09,2.15,2.32,7.56,92.41,99.97,0
51.49,54.59,51.42,50.87,2.24,2.17,51.06,2.25,2.16,7.59,92.4,99.99,0
49.14,51.4,53.2,53.9,2.34,2,50.56,2.22,2.17,8.17,93.39,101.56,0
46.61,48.72,55.81,50.66,2.31,2.25,51.23,2.18,2.07,8.51,92.53,101.04,0
46.72,46.33,52.84,46.88,1.93,2.19,50.69,1.99,1.94,7.66,91.95,99.61,0
48.46,51.27,54.53,46.89,2.27,2.57,51.68,2.06,1.92,7.91,91.04,98.96,0
52.72,58.43,52.4,56.9,2.52,1.91,54.74,2.26,1.87,8.08,93.1,101.18,0
52.5,56.15,50.8,51.08,2.17,2.08,53.78,2.17,1.86,7.31,92.21,99.52,0
51.42,57.8,54.61,53,2.42,2.15,51.7,2.27,2.12,7.84,92.65,100.49,0
51.52,59.98,56.44,56.61,2.6,1.99,50.93,2.4,2.31,8.19,93.55,101.74,0
52.19,59.86,54.84,53.47,2.52,2.19,51.16,2.43,2.32,7.7,92.7,100.39,0
50.44,54.4,53.46,47.46,1.99,2.2,49.65,2.31,2.34,6.73,92.39,99.11,0
45.6,53.1,63.35,40.77,1.92,2.78,45.46,2.13,2.56,6.77,91.47,98.24,0
47.7,54.72,59.99,46.18,2.27,2.64,49.52,2.45,2.5,7.68,91.46,99.14,0
46.14,53.27,62.17,44.09,2.19,2.77,44.9,2.29,2.8,7.79,91.21,99,0
47.59,52.26,57.54,42.76,1.95,2.6,48.43,2.36,2.52,6.83,91.04,97.87,0
49.97,55.42,55.5,49.47,2.4,2.45,51.83,2.5,2.32,8.02,90.93,98.96,0
49.42,55.41,56.7,44.98,2.14,2.62,48.62,2.44,2.58,7.24,91.11,98.35,0
52.74,61.31,54.95,51.7,2.53,2.36,55.41,2.95,2.38,7.79,91.47,99.26,0
49.52,54.97,56.03,51.51,2.3,2.17,49.09,2.34,2.42,8.11,92.62,100.72,0
47.75,54.92,60.1,50.86,2.63,2.54,49.05,2.48,2.57,8.87,91.77,100.64,0
47.47,55.93,61.89,48.35,2.64,2.82,46.87,2.33,2.64,8.84,91.71,100.55,0
47.82,52.64,57.44,55.44,2.39,1.92,51.2,2.37,2.26,8.5,93.55,102.05,0
53.89,53.83,46.06,54.08,2.14,1.82,53.86,2.44,2.09,7.15,92.68,99.83,0
52.67,58.27,52.36,47.15,2.05,2.3,51.95,2.63,2.44,6.48,92.04,98.52,0
49.73,54.82,55.41,51.25,2.3,2.19,49.32,2.41,2.48,7.92,92.57,100.49,0
49.14,53.77,55.65,52.28,2.33,2.13,53.28,2.68,2.35,8.02,92.72,100.73,0
47.7,49.83,54.63,53.24,2.29,2.01,51.99,2.47,2.28,8.3,92.69,100.99,0
51.98,58.04,53.61,57.32,2.32,1.73,53.98,2.61,2.23,7.41,93.51,100.93,0
52.44,58.66,53.2,51.84,2.17,2.01,51.76,2.51,2.34,6.7,92.98,99.68,0
49.49,54.47,55.59,56.65,2.68,2.05,49.97,2.5,2.5,8.83,93.08,101.92,0
47.39,51.55,57.22,55.82,2.44,1.93,47.87,2.24,2.44,8.99,93.45,102.43,0
47.9,52.63,57.24,52.19,2.51,2.3,48.88,2.36,2.47,8.85,92.32,101.17,0
45.9,53.09,62.58,45.18,2.25,2.74,47.12,2.5,2.8,7.55,92.18,99.72,0
46.05,51.28,60.09,45.71,2.19,2.6,47.14,2.32,2.61,7.71,91.98,99.69,0
51.07,53.93,51.68,54.98,2.91,2.38,50.65,2.34,2.28,9.83,91.79,101.61,0
49.19,50.49,52.16,46.99,2.05,2.31,49.53,2.09,2.13,7.37,91.76,99.14,0
51.98,54.45,50.29,45.89,2.29,2.7,52.98,2.32,2.06,7.85,89.77,97.62,0
49.91,53.36,53.56,42.09,1.94,2.67,48.86,2.15,2.25,6.67,90.92,97.59,0
52.3,59.86,54.6,50.64,2.46,2.4,48.73,2.29,2.41,7.86,92.12,99.98,0
53.62,61.63,53.32,50,1.95,1.95,53.31,2.35,2.06,6.01,93.44,99.44,0
52.37,61.91,56.31,48.75,2.46,2.59,48.03,2.33,2.52,7.45,92.22,99.67,0
50.24,55.64,55.11,51.36,2.34,2.22,51.14,2.29,2.19,8.01,92.98,100.99,0
47.65,52.68,57.88,50.68,2.28,2.21,47.7,2.07,2.27,8.25,93.02,101.27,0
48.54,54.84,58.15,48.74,2.07,2.17,49.11,2.18,2.25,7.03,92.58,99.6,0
47.12,55.39,62.15,43.23,2.27,2.98,45.87,2.16,2.55,7.69,90.84,98.53,0
44.9,53.21,65.3,43.56,2.53,3.28,46.29,2.31,2.68,8.75,90.62,99.36,0
46.99,50.11,56.53,47.64,2.17,2.38,47.87,2.17,2.36,7.84,92.41,100.25,0
47.56,53.35,58.82,50,2.54,2.54,47.98,2.21,2.39,8.55,91.93,100.48,0
50.91,57.11,55.06,49.65,2.3,2.33,51.86,2.51,2.33,7.46,92,99.45,0
49.2,56.87,58.72,54.95,2.73,2.24,50.95,2.5,2.41,8.72,92.59,101.31,0
50.98,57.25,55.05,53.7,2.7,2.33,52.57,2.59,2.34,8.72,91.82,100.54,0
47.59,52.95,58.31,45.76,2.21,2.62,48.05,2.13,2.31,7.91,90.94,98.85,0
49.97,56.26,56.33,48.98,2.31,2.4,49.61,2.14,2.17,8.02,92.24,100.26,0
49.31,53.65,55.16,49.44,2.01,2.06,47.05,1.97,2.22,7.31,92.95,100.26,0
50.63,57.65,56.22,50.38,2.04,2.01,49.29,2.22,2.28,6.96,93.35,100.31,0
51.09,57.6,55.14,45.36,1.95,2.35,49.34,2.18,2.24,6.65,91.68,98.32,0
49.79,55.05,55.51,52.33,2.38,2.16,50.54,2.28,2.24,7.88,92.48,100.36,0
48.27,55.63,59.62,46.84,2.51,2.85,48.7,2.36,2.49,8.44,91.1,99.54,0
45.62,47.41,56.52,54.66,2.38,1.98,49.75,2.15,2.18,8.96,93.43,102.4,0
48.13,51.73,55.76,55.03,2.72,2.22,49.68,2.04,2.06,9.76,92.4,102.15,1
52.08,58.72,54.03,51.7,2.75,2.57,52.47,2.39,2.16,8.6,90.83,99.43,0
52.79,57.95,51.83,53.31,2.34,2.05,51.43,2.2,2.07,7.54,92.68,100.22,0
54.24,59.59,50.27,54.05,2.9,2.47,53.8,2.45,2.11,8.92,90.84,99.76,0
49.05,54.08,56.18,59.12,2.84,1.96,52.23,2.26,2.07,9.65,93.31,102.96,0
